Fighter,Elo Rating
Jon Jones,1339.44
Georges St-Pierre,1313.66
Islam Makhachev,1293.11
Max Holloway,1259.88
Khabib Nurmagomedov,1254.88
Belal Muhammad,1244.17
Leon Edwards,1235.68
Francis Ngannou,1233.94
Charles Oliveira,1233.57
Amanda Nunes,1223.48
Aljamain Sterling,1223.32
Demetrious Johnson,1213.98
Stipe Miocic,1213.65
Kamaru Usman,1212.4
Robert Whittaker,1211.11
Dustin Poirier,1205.14
Alexander Volkanovski,1197.64
Deiveson Figueiredo,1197.48
Dricus Du Plessis,1195.65
Daniel Cormier,1192.17
Brendan Allen,1190.48
Merab Dvalishvili,1189.05
Valentina Shevchenko,1185.39
Magomed Ankalaev,1181.21
Alex Pereira,1177.9
Royce Gracie,1175.75
Alexander Volkov,1174.64
Ryan Bader,1174.06
Alexandre Pantoja,1172.98
Colby Covington,1172.69
Tom Aspinall,1169.95
Ciryl Gane,1169.26
Sean Strickland,1168.77
Arman Tsarukyan,1168.61
Beneil Dariush,1168.34
Israel Adesanya,1168.02
Sean O'Malley,1164.98
Khamzat Chimaev,1164.55
Glover Teixeira,1164.07
Cain Velasquez,1163.66
Ilia Topuria,1163.14
Jon Fitch,1162.15
Arnold Allen,1161.78
TJ Dillashaw,1161.62
Ian Machado Garry,1158.8
Jack Della Maddalena,1158.74
Curtis Blaydes,1157.76
Randy Brown,1157.69
Zhang Weili,1156.64
Shavkat Rakhmonov,1156.22
Movsar Evloev,1155.32
Gegard Mousasi,1154.26
Anthony Johnson,1152.8
Benson Henderson,1151.86
Don Frye,1151.03
Raquel Pennington,1150.7
Vicente Luque,1150.62
Michael Bisping,1150.14
Jose Aldo,1149.74
Grant Dawson,1149.01
Michel Pereira,1148.5
Demian Maia,1147.93
Henry Cejudo,1147.65
Cory Sandhagen,1147.37
Manon Fiorot,1144.7
Tatiana Suarez,1143.43
Jan Blachowicz,1143.06
Francisco Trinaldo,1141.2
Justin Gaethje,1139.5
Rose Namajunas,1139.06
Caio Borralho,1138.69
