Rank,Map Name,Agent Name,alias,Year,Quarter,Month,Day,Sum of Ultimate Casts,Sum of TRN Performance Score,Sum of Traded,Sum of Thrifty,Sum of Team Aces,Sum of Rounds Won,Sum of Rounds Played,Sum of Rounds Lost,Sum of Round Ratio,Sum of Plants,Sum of Placement,Sum of Match Result Binary,Sum of KD Ratio,Sum of Last Deaths,Sum of Kills,Sum of KAST,Sum of Headshots Percentage,Sum of Headshots,Sum of Flawless,Sum of Grenade Casts,Sum of First Bloods,Sum of First Deaths,Sum of Ability 1 Casts,Sum of Ability 2 Casts,Sum of Assists,Sum of Clutches,Sum of Damage,Sum of Damage Delta Per Round,Sum of Damage Per Round,Sum of Damage Received,Sum of Dealt Bodyshots,Sum of Dealt Headshots,Sum of Deaths,Sum of Defuses,Sum of Econ Rating,Match Result
Gold 3,Bind,Brimstone,pphead,2021,Qtr 2,May,14,10,1208,8,8,18,29,51,22,2.7678571428571397,13,14,2,2.424242424242424,4,40,148,34.303534303534306,18,5,26,6,4,32,99,12,0,6151,-4.852380952380953,232.94761904761907,6180,86,20,34,0,90,victory
Gold 3,Fracture,Jett,a1ex,2023,Qtr 1,January,9,9,1679,8,16,49,27,50,23,2.3484848484848504,0,2,2,2.831818181818182,6,59,152,69.53528399311531,49,1,33,13,13,15,68,9,0,11329,116.06089743589743,451.9519230769231,8383,91,54,42,0,162,victory
Platinum 1,Fracture,Viper,pphead,2021,Qtr 4,October,23,9,3029,13,11,37,52,68,16,30.04444444444444,24,19,4,6.766233766233766,4,54,337,120.67670970827356,37,5,70,8,2,30,62,32,1,9781,160.74891774891776,602.9357864357864,7641,102,44,38,1,261,victory
Ascendant 3,Lotus,Gekko,a1ex,2024,Qtr 3,August,14,8,1000,2,3,21,13,20,7,1.85714285714286,3,1,1,2.5,2,25,100,36.0655737704918,21,1,9,7,0,10,22,5,1,4308,111.15,215.4,2085,31,22,10,2,105,victory
Diamond 3,Split,Phoenix,a1ex,2024,Qtr 1,January,20,8,1555,8,12,30,26,46,20,2.62626262626262,2,5,2,2.450980392156863,0,43,152,48.47222222222222,30,3,4,9,6,22,12,13,0,8711,49.46590909090909,377.54924242424244,7555,101,35,35,0,144,victory
Gold 3,Pearl,Phoenix,crocodiledundii,2023,Qtr 3,August,15,8,854,4,2,20,13,24,11,1.18181818181818,0,1,1,1.6875,0,27,79,34.48275862068966,20,1,10,3,3,27,22,10,0,5095,51.583333333333336,212.29166666666666,3857,36,20,16,0,83,victory
Silver 1,Haven,Yoru,pphead,2021,Qtr 3,August,29,8,1449,8,7,22,39,53,14,17.225,1,19,3,2.2149732620320854,0,31,203,87.80258519388954,22,2,8,12,13,34,30,11,1,6449,-72.15873015873017,374.91269841269843,7844,58,25,43,1,142,victory
Silver 3,Haven,Sova,sp1cyn00dz,2022,Qtr 4,October,5,8,2056,7,19,32,39,63,24,8.86363636363636,1,18,3,3.8842490842490838,4,44,238,88.04739120528595,32,3,13,2,6,7,57,15,3,8425,72.73333333333333,402.7166666666667,7103,87,36,35,4,208,victory
Unranked,Bind,Gekko,crocodiledundii,2024,Qtr 2,June,29,8,805,3,5,14,13,22,9,1.44444444444444,10,2,1,1.5,4,18,82,26.785714285714285,14,1,12,1,1,23,31,7,0,3334,54.95454545454545,151.54545454545453,2125,37,15,12,0,79,victory
Diamond 1,Ascent,Brimstone,shift,2023,Qtr 2,May,11,7,1330,11,9,16,26,47,21,2.48181818181818,6,13,2,1.9558823529411766,3,32,166,36.666666666666664,16,0,29,3,6,14,92,22,4,6378,-6.570652173913043,270.4728260869565,6510,93,22,33,0,105,victory
Diamond 1,Lotus,Skye,pphead,2023,Qtr 3,July,31,7,826,5,4,19,11,24,13,0.846153846153846,5,2,0,1.7058823529411764,4,29,79,30.985915492957744,19,2,8,2,2,20,65,12,0,4525,59.375,188.54166666666666,3100,46,22,17,0,70,defeat
