Team,Elo Rating
FNATIC,2554.45
Acend,2372.13
EDward Gaming,2210.25
DSYRE,2191.83
Paper Rex,2164.12
G2 Gozen,2065.47
Alter Ego,2056.2
Sentinels,2039.41
G2 Esports,2014.65
Velocity Gaming,2013.6
FunPlus Phoenix,2001.33
Ghost Gaming,1975.36
NAOS,1967.68
BOOM Esports,1930.41
Cloud9,1905.12
Apeks,1892.71
Team Liquid,1889.7
SAW,1880.76
FULL SENSE,1873.87
Fire Flux Esports,1867.25
Giants Gaming,1829.94
M80,1813.67
The Guard,1803.36
Absolute JUPITER,1775.1
NRG Esports,1773.19
Oxygen Esports,1771.51
MOUZ,1770.26
ORDER,1768.44
Gambit Esports,1763.85
Diamant Esports,1732.15
DRX,1724.32
FUT Esports,1720.29
KRÜ BLAZE,1713.57
Team Falcons,1696.89
Mandatory,1694.51
Papara SuperMassive,1693.59
TSM,1693.3
Immortals,1687.88
GMT Esports,1686.89
Team Heretics,1685.51
BLEED,1682.09
Version1,1669.6
XSET,1668.54
Made in Thailand,1649.43
Renegades,1647.36
CGN Esports,1638.58
UCAM Esports Club,1636.92
100 Thieves,1634.5
Team Vitality,1628.57
Vision Strikers,1607.66
Soniqs,1591.49
Knights,1590.03
Acend Rising,1565.21
Fancy United Esports,1551.75
LOUD,1550.8
X10 Esports,1550.75
DarkZero Esports,1547.74
ONIC G,1540.67
Envy,1534.69
Oasis Gaming,1521.86
forZe,1517.89
Case Esports,1516.92
TSM Academy,1512.24
Guild Esports,1506.09
Gen.G,1471.6
FENNEL,1470.75
Oblivion Force,1465.21
Complexity,1461.23
Guild GC,1460.32
E-Xolos LAZER,1457.76
Andbox,1452.83
Shopify Rebellion GC,1452.27
KRÜ Esports,1449.38
FaZe Clan,1446.78
TENSTAR Nova,1445.37
Nearest Airport,1430.36
Team Liquid Brazil,1428.32
Evil Geniuses,1425.84
Dark Ratio,1422.74
KPI Gaming,1421.29
XERXIA Esports,1418.0
Team Secret,1417.45
Opportunists,1415.33
Alter Ego Celeste,1406.97
Akrew,1406.27
EXO Clan,1405.1
ONE Team Esports,1404.86
fish123,1396.86
Oxygen Academy,1390.87
EXCEL,1390.68
Crazy Raccoon,1389.42
FOKUS,1388.82
TENSTAR,1387.54
Cloud9 White,1386.85
Natus Vincere,1386.71
LEVIATÁN,1386.59
Teal Seam,1384.64
SoaR,1383.02
BBL Queens,1380.65
The Union,1375.71
Action PH,1372.73
need more DM,1371.42
DfuseTeam,1369.54
Orangutan,1369.49
Turtle Troop,1367.86
Team Bliss,1366.76
BIG,1363.71
Finest,1360.46
Keyd Stars,1358.73
Built By Gamers,1356.17
Gamelanders Blue,1352.52
Built By Gamers Academy,1352.22
The Mafia,1350.44
Shopify Rebellion,1350.34
TERROR.NET,1349.92
9z Team,1347.13
T1,1344.95
Enigma Gaming,1343.24
Team SMG,1341.38
Cloud9 Academy,1338.65
Weibo Gaming,1335.68
KONE eSports Club,1335.01
Luminosity,1333.69
Rise,1327.29
BOBO,1325.97
DAMWON Gaming,1322.79
Pioneers,1322.73
NUTURN,1318.78
Team RA'AD,1316.15
Rix.GG Lightning,1316.09
Wave Esports,1313.21
Oxxgen Esports,1307.99
Australs,1307.6
Sin Prisa Gaming,1305.35
LDN UTD,1304.4
Prodigy,1301.03
ZETA DIVISION GC,1299.43
GTZ Esports,1298.43
Bigetron Arctic,1296.51
Attack All Around,1292.68
SBG,1287.93
HSDIRR,1285.05
TNL Esports,1284.19
True Rippers,1278.77
nolpenki,1276.31
Anti Eco Eco Club,1275.93
Ninjas in Pyjamas,1275.8
Revenant Esports,1274.77
Estral Esports,1273.99
NXL LIGAGAME,1273.0
OpTic Gaming,1271.76
Surreal Esports,1270.87
China Nguyen,1269.93
Team SMG GC,1269.84
Joblife,1269.4
Team Falcons Vega,1267.43
Bren Esports,1264.03
Totoro Gaming,1262.52
ex-Giants Gaming,1260.77
Bilibili Gaming,1260.26
PartyParrots,1257.36
CERBERUS Esports,1255.53
NASR Esports,1255.14
Dplus Esports,1253.05
On The Way,1253.02
ZOL Esports,1252.03
Reality Rift,1251.98
Tim Tài Trơ,1250.82
Knights Academy,1249.89
All Knights,1249.4
Tales of Eastern,1248.41
NYFU,1248.35
FlyQuest RED,1247.69
FAV gaming,1247.44
BBL Esports,1247.31
GoNext Esports,1246.71
FUT Female,1246.63
JustLose,1246.53
Squirtle Squad,1246.5
Rare Atom,1246.05
SUMN FC,1243.65
Northwood University,1242.78
Parla Esports,1241.77
Barça eSports,1241.18
NoPoaching,1239.0
ez5,1238.35
CrowСrowd,1235.09
Shenzhen NTER,1231.1
City Boys,1230.3
ELEVATE,1230.07
Radiance,1229.91
Rio Company,1225.93
CBT Gaming,1224.53
ex-FLICKBAITERS,1221.45
Steal Your Glory,1221.09
95x Esports,1216.78
Rebels Gaming,1215.06
HypHypHyp,1214.35
Gentle Mates,1214.14
Complexity GX3,1213.76
Anubis Gaming,1213.3
Xipto Esports,1212.97
PCIFIC Espor,1212.83
SCARZ,1210.68
S2G Esports,1210.0
Global Esports,1208.3
HEET,1206.46
PEACE,1204.18
Evil Geniuses GC,1202.37
Wildcard Gaming,1198.4
FABRIKEN,1198.15
INFINITY,1194.16
bonk,1193.91
Zerance,1193.04
VALIANT,1186.22
LDM Esports,1185.27
YFP Gaming,1185.02
RIDDLE ORDER,1184.98
Disguised,1179.93
Fox Gaming,1179.31
FiRePOWER,1178.88
NASR Ignite,1177.26
FURIA,1177.21
HOWL Esports,1174.95
KOVA,1172.58
ORGLESS,1171.84
Kooky Koalas,1171.71
Entropiq,1170.3
2Game Esports,1168.96
Fusion Fraggers,1168.92
together we are terrific,1168.08
One Breath Gaming,1167.39
NerdPunt,1166.54
Papara SuperMassive Female,1164.06
STEALING LUNCH MONEY,1161.31
Mamba Mode Gaming,1160.46
NORTHEPTION,1160.45
Ariana Grande Perfume,1160.27
UBT Esports,1157.69
Six Karma,1156.91
Team NKT,1156.87
MAD Lions,1156.78
Team Singularity,1156.76
Team Portugal,1156.49
VIRTUOSO,1153.84
Akave Esports GC,1149.67
2G4L,1149.03
WiLD MultiGaming,1148.55
ex-EXO Clan,1148.23
KPC Computer Studio,1145.84
Blinn,1145.03
Cloud9 Korea,1144.81
QoR,1143.88
Trident Esports,1143.79
CISFAITH,1143.73
Suning Gaming,1143.39
YONK,1143.16
HONEY BADGERS,1143.15
X10 Sapphire,1142.46
Macko Esports,1138.63
ZETA DIVISION,1138.32
McBTSMac,1138.04
Arroz,1138.0
Team Flash,1137.15
Louvre,1136.23
Eloquence,1135.87
Zero MarksMen Black,1135.29
NSIC,1134.76
Team Mixwell,1134.52
Alliance,1134.11
LFG Portal,1132.89
Bottom Fraggers,1131.99
Moon Raccoons,1131.12
Geekay Esports,1129.7
GIANTX GC,1129.34
THE 7,1128.49
F4Q,1127.25
Ninjas In Pyjamas,1127.0
Requiem,1126.86
Los Grandes,1126.57
ahq e-Sports Club,1126.22
Botafogo eSports,1126.2
VX300 Gaming,1125.8
Team Launch,1125.06
Pancada e Amigos,1122.53
Fire Flux Fierce,1122.52
Team Eastern Europe,1122.23
EGN Esports,1121.7
M3 Champions,1120.91
Team Empire,1119.91
Reject$,1119.74
RETA Esports,1119.17
Royals,1118.95
eXiLe eSports,1118.52
R8 Esports,1118.13
Dignitas,1117.18
Noble,1117.11
PPP,1116.94
Bonkers,1116.46
Gamelanders Purple,1115.18
ChatBanned,1114.62
St. Clair Saints,1114.45
Teal Seam 1.0,1114.27
mouseSpaz,1114.16
LaZe,1113.71
Jacked Gamers,1113.58
MIBR GC,1113.39
Lenny Time,1113.02
Inside Games,1112.91
Ground Zero,1111.78
DNADIFF,1110.07
Purple Cobras,1109.58
Hero Base,1109.19
FPL-C,1107.7
Team XO,1106.6
Lotus Knights,1106.53
animel,1106.09
Team Türkiye,1104.94
Team Vikings,1104.68
FAKEZIN,1104.38
Team Toxic,1103.96
JiJieHao,1103.66
Kizuna Esports,1103.36
Generation of Miracles,1103.1
Skull Cracker Quartz,1103.04
Misfits Black,1103.04
where is fullerton,1102.45
Sangal Esports,1102.04
Supernova Galaxy,1101.74
Xi Lai Gaming,1100.4
L'institut,1099.23
