Team,Peak Elo
FNATIC,2595.07
Acend,2490.99
Paper Rex,2253.17
DSYRE,2228.59
EDward Gaming,2210.25
Sentinels,2088.16
FunPlus Phoenix,2081.86
Alter Ego,2068.14
G2 Gozen,2065.47
Cloud9,2055.82
Velocity Gaming,2054.18
G2 Esports,2053.39
NAOS,2020.64
Team Liquid,2008.62
SAW,1993.44
Ghost Gaming,1975.36
BOOM Esports,1969.73
FULL SENSE,1936.08
Team Heretics,1925.95
Fire Flux Esports,1898.57
BLEED,1896.14
Apeks,1892.71
NRG Esports,1866.43
FUT Esports,1866.29
TSM,1859.07
Giants Gaming,1855.3
M80,1853.06
DRX,1852.72
Immortals,1848.66
ORDER,1841.38
Gambit Esports,1820.85
Absolute JUPITER,1809.39
The Guard,1803.36
Oxygen Esports,1795.47
MOUZ,1770.26
Renegades,1763.68
XSET,1744.85
100 Thieves,1740.85
Diamant Esports,1733.55
Papara SuperMassive,1732.02
Soniqs,1724.0
KRÜ BLAZE,1713.57
Version1,1707.96
Made in Thailand,1705.74
Team Falcons,1696.89
Mandatory,1696.37
GMT Esports,1686.89
UCAM Esports Club,1674.01
Team Vitality,1662.84
Vision Strikers,1659.32
KRÜ Esports,1659.31
CGN Esports,1649.93
LOUD,1631.43
Case Esports,1628.62
TSM Academy,1627.75
Guild GC,1608.07
Knights,1607.46
Global Esports,1606.46
FaZe Clan,1604.28
Guild Esports,1599.74
DarkZero Esports,1596.98
Fancy United Esports,1595.14
Gamelanders Blue,1593.74
Acend Rising,1593.39
Envy,1589.56
X10 Esports,1579.3
Complexity,1574.78
Oasis Gaming,1565.13
ONIC G,1557.02
forZe,1548.27
XERXIA Esports,1540.38
Gen.G,1535.17
BBL Queens,1527.07
Rebels Gaming,1510.85
FENNEL,1506.34
T1,1503.17
Evil Geniuses,1502.42
Natus Vincere,1500.45
E-Xolos LAZER,1499.65
Nearest Airport,1495.07
GTZ Esports,1488.53
TENSTAR,1486.34
Built By Gamers Academy,1482.48
Orangutan,1481.15
Akrew,1480.68
Bren Esports,1478.35
Shopify Rebellion GC,1470.78
Oblivion Force,1470.15
Andbox,1469.2
Teal Seam,1468.82
TENSTAR Nova,1462.78
BIG,1457.56
The Union,1456.83
EXCEL,1452.98
SoaR,1452.5
Crazy Raccoon,1448.83
The Mafia,1448.77
KPI Gaming,1448.73
Oxygen Academy,1448.16
Alter Ego Celeste,1443.29
Team SMG,1440.7
Luminosity,1440.2
Enigma Gaming,1438.52
Team Liquid Brazil,1428.32
fish123,1428.21
ONE Team Esports,1426.16
Dark Ratio,1422.74
Finest,1422.35
Team Secret,1419.3
Cloud9 White,1419.11
LEVIATÁN,1418.87
Opportunists,1415.33
Bigetron Arctic,1413.72
Prodigy,1413.48
Rise,1409.58
Attack All Around,1406.56
EXO Clan,1405.1
Weibo Gaming,1404.28
Team Bliss,1404.28
Team Vikings,1401.88
Built By Gamers,1399.65
FOKUS,1396.68
BOBO,1396.16
Action PH,1395.37
BBL Esports,1393.59
9z Team,1390.22
Pioneers,1384.96
HSDIRR,1383.96
INFINITY,1381.02
need more DM,1380.75
Entropiq,1379.72
DAMWON Gaming,1379.25
Shopify Rebellion,1378.71
Ninjas in Pyjamas,1374.39
DfuseTeam,1369.54
Wave Esports,1367.95
Turtle Troop,1367.86
Keyd Stars,1365.19
Cloud9 Academy,1359.9
Alliance,1351.85
KONE eSports Club,1351.0
ZETA DIVISION,1350.3
NUTURN,1349.99
TERROR.NET,1349.92
Oxxgen Esports,1346.48
Team RA'AD,1342.82
Rix.GG Lightning,1342.03
S2G Esports,1340.52
LDN UTD,1339.12
Zero MarksMen Black,1335.45
PartyParrots,1332.09
Shenzhen NTER,1329.98
ZETA DIVISION GC,1327.17
Australs,1325.04
All Knights,1318.79
FURIA,1314.88
True Rippers,1314.68
NASR Esports,1313.64
Bilibili Gaming,1312.04
Knights Academy,1307.49
Sin Prisa Gaming,1305.35
Six Karma,1304.39
Revenant Esports,1302.93
MAD Lions,1301.58
FAV gaming,1300.91
HEET,1300.85
Joblife,1299.91
nolpenki,1298.93
Team SMG GC,1296.96
NYFU,1295.89
Gentle Mates,1295.0
SBG,1294.96
Dplus Esports,1290.51
OpTic Gaming,1288.89
CrowСrowd,1288.38
Surreal Esports,1287.87
Louvre,1287.83
Tim Tài Trơ,1284.92
Team Falcons Vega,1284.53
TNL Esports,1284.19
Complexity GX3,1284.11
SUMN FC,1283.62
NXL LIGAGAME,1283.17
ex-Giants Gaming,1276.3
Anti Eco Eco Club,1275.93
FiRePOWER,1275.29
Reality Rift,1274.91
Estral Esports,1273.99
NORTHEPTION,1273.8
CERBERUS Esports,1270.46
China Nguyen,1269.93
Parla Esports,1269.89
Barça eSports,1269.16
Gamelanders Purple,1267.86
City Boys,1263.41
Totoro Gaming,1262.52
Tales of Eastern,1262.29
Anubis Gaming,1261.8
ez5,1258.08
Movistar Riders,1257.61
YFP Gaming,1257.53
FlyQuest RED,1257.35
Rare Atom,1257.08
ELEVATE,1255.9
FUT Female,1255.63
On The Way,1253.02
ZOL Esports,1252.51
GoNext Esports,1251.41
Evil Geniuses GC,1247.61
JustLose,1246.53
Squirtle Squad,1246.5
ex-FLICKBAITERS,1244.62
CBT Gaming,1242.92
Northwood University,1242.78
Wildcard Gaming,1241.4
QoR,1241.22
NoPoaching,1240.48
Rio Company,1238.31
Radiance,1238.15
Geekay Esports,1229.03
SCARZ,1228.83
HOWL Esports,1225.65
RIDDLE ORDER,1224.21
Sharper Esport,1221.91
Disguised,1221.36
MIBR,1221.19
Steal Your Glory,1221.09
Cosmic Divide,1220.25
95x Esports,1216.78
Mamba Mode Gaming,1216.14
One Breath Gaming,1215.71
Ariana Grande Perfume,1214.49
HypHypHyp,1214.35
Zerance,1213.79
PCIFIC Espor,1213.62
Xipto Esports,1212.97
19esports,1211.59
Ninjas In Pyjamas,1210.8
PPP,1210.18
Lenny Time,1209.6
Mindfreak,1209.56
MiTH.Attitude,1209.44
Papara SuperMassive Female,1208.77
Natus Vincere Celestials,1206.9
KOI,1204.53
PEACE,1204.18
KOVA,1203.24
together we are terrific,1201.91
FABRIKEN,1198.71
bonk,1197.78
Todak,1197.78
DNADIFF,1197.53
REJECT,1196.14
Blinn,1195.73
Enterprise Esports,1195.06
F4Q,1194.09
VALIANT,1194.0
NASR Ignite,1193.06
Incheon On Sla2ers,1192.28
Moon Raccoons,1191.59
VIRTUOSO,1191.31
Fox Gaming,1190.13
Royals,1190.1
Rapid Ninjas,1189.11
Team Portugal,1186.63
UBT Esports,1186.07
Team Singularity,1185.93
LDM Esports,1185.27
FUSION,1184.77
NerdPunt,1182.89
Morph Impact,1182.62
ahq e-Sports Club,1180.47
Hero Base,1180.04
Team XO,1179.04
Wygers Argentina,1177.2
VX300 Gaming,1176.75
RETA Esports,1174.5
STEALING LUNCH MONEY,1172.77
Moist x Shopify,1172.15
ORGLESS,1171.84
Kooky Koalas,1171.71
Team Flash,1169.66
2Game Esports,1169.02
Fusion Fraggers,1168.92
FAKEZIN,1168.8
Arroz,1168.55
KPC Computer Studio,1167.65
Team NKT,1166.7
ChatBanned,1164.62
X10 Sapphire,1161.2
Serenity,1160.67
2G4L,1160.59
M3 Champions,1160.04
McBTSMac,1158.03
Botafogo eSports,1157.18
smoke,1156.83
Los Grandes,1156.82
Bonkers,1156.8
OLD STINKY CAT,1156.74
Kizuna Esports,1155.49
Purple Cobras,1154.95
EGN Esports,1154.2
HONEY BADGERS,1152.73
Worst Players,1152.42
CISFAITH,1152.28
LaZe,1152.2
Reject$,1150.11
Akave Esports GC,1149.67
Fire Flux Fierce,1149.03
Team Eastern Europe,1148.75
WiLD MultiGaming,1148.55
ex-EXO Clan,1148.23
Cloud9 Korea,1148.19
Border Monsters,1146.88
Angry Titans,1146.88
Noble,1146.86
Liberty,1146.5
Bottom Fraggers,1146.32
Eloquence,1146.03
Sangal Esports,1145.78
R8 Esports,1145.59
Dignitas,1145.36
Requiem,1144.63
EGO,1144.51
Ghetto Artist,1144.41
SMARACIS eSports Female,1144.17
NSIC,1143.95
Zeal Esports,1143.83
Trident Esports,1143.79
Megastitut,1143.67
THE 7,1143.5
Galatasaray Esports,1143.42
Rex Regum Qeon,1143.41
Suning Gaming,1143.39
YONK,1143.16
Sakura Storm,1142.81
Team Launch,1142.14
Supernova Galaxy,1142.11
Macko Esports,1140.93
Winthrop University,1140.44
Arbalest,1139.96
Brimstone Gaming,1139.4
St. Clair Saints,1137.31
animel,1137.13
Equinox Esports,1137.1
Jacked Gamers,1136.13
Ground Zero,1135.95
Balanced Esports,1135.47
Kingsmen,1135.19
Disguised GC,1134.72
Team Mixwell,1134.52
Attacking Soul Esports,1134.04
Passion Project,1133.85
Team Toxic,1133.44
LFG Portal,1132.89
Royal Never Give Up,1132.42
OREsports,1132.19
Dragon Ranger Gaming,1130.99
CLG Red,1130.13
Rebels Velvet,1129.78
GIANTX GC,1129.52
Team Queso,1129.4
Thinking Men,1129.02
flawless,1128.38
JiJieHao,1128.01
eXiLe eSports,1127.82
OG,1127.6
The Nation,1127.5
Indonesia,1127.12
SaD Esports,1126.93
SweetNsour,1126.92
Goofy Goobers,1125.23
Inside Games,1125.01
iPon Esport,1124.83
Team oNe,1124.42
Monarch Effect,1124.29
L'institut,1124.1
