Team,Elo Rating
FNATIC,2554.45
Acend,2372.13
EDward Gaming,2210.25
DSYRE,2191.83
Paper Rex,2164.12
G2 Gozen,2065.47
Alter Ego,2056.2
Sentinels,2039.41
G2 Esports,2014.65
Velocity Gaming,2013.6
FunPlus Phoenix,2001.33
Ghost Gaming,1975.36
NAOS,1967.68
BOOM Esports,1930.41
Cloud9,1905.12
Apeks,1892.71
Team Liquid,1889.7
SAW,1880.76
FULL SENSE,1873.87
Fire Flux Esports,1867.25
Giants Gaming,1829.94
M80,1813.67
The Guard,1803.36
Absolute JUPITER,1775.1
NRG Esports,1773.19
Oxygen Esports,1771.51
MOUZ,1770.26
ORDER,1768.44
Gambit Esports,1763.85
Diamant Esports,1732.15
DRX,1724.32
FUT Esports,1720.29
KRÜ BLAZE,1713.57
Team Falcons,1696.89
Mandatory,1694.51
Papara SuperMassive,1693.59
TSM,1693.3
Immortals,1687.88
GMT Esports,1686.89
Team Heretics,1685.51
BLEED,1682.09
Version1,1669.6
XSET,1668.54
Made in Thailand,1649.43
Renegades,1647.36
CGN Esports,1638.58
UCAM Esports Club,1636.92
100 Thieves,1634.5
Team Vitality,1628.57
Vision Strikers,1607.66
